ENGLISH,TRANSLATED HINDI,,corrected hindi 
what flights from atlanta to st. louis on tuesday arriving around 230 pm,उड़ानें सेंट करने के लिए,, अटलांटा से सेंट लुइस के लिए उड़ान। शनिवार को दोपहर लगभग दो बज के तिस मिनट पर 
list daily flights from oakland to boston using twa,औपचारिक रूप से औपचारिक रूप,, ओकलैंड से बोस्टॉन तक की दैनिक उड़ानों की सूची twa पर 
could you give me the schedule of flights for american and delta to dfw on august fifteenth,"से ओकलैंड से बोस्टन तक उड़ान भरने के लिए औसतन 230 बजे तक लुईस, क्या आप मुझे पंद्रहवीं अगस्त में अमेरिकी और डेल्टा के लिए डीएफडब्ल्यू के लिए उड़ानों का शेड्यूल दे सकते हैं, मुझे",,क्या आप मुझे पन्द्रहवीं अगस्त को आने के लिए अमेरिकन और डेल्टा के लिए उड़ानों का समय दे सकते हैं
show me first class flights from new york to miami leaving on a tuesday,न्यू यॉर्क से मियामी तक पहली कक्षा की उड़ानें,,मुझे पहली कक्षा की फ्लाइट से न्यू यॉर्क से मिआमी तक ट्यूसडे पर छोड़ने वाली उड़ान दिखाए 
please show me airfare of flight us 345 from boston to pittsburgh,"दिखाएं, कृपया मुझे दिखाएं बोस्टन से पिट्सबर्ग तक हमें 345 उड़ान का हवाई किराया",,कृपया मुझे बोस्टन से पिट्सबर्ग तक थ्री फोर फाइव  फ्लाइट का एयरफेयर दिखाएं
is there a delta flight from boston to san francisco that stops in denver,बोस्टन से सैन फ्रांसिस्को से डेल्टा उड़ान है जो डेनवर में रुकती है,,"वहाँ एक डेल्टा फ्लाइट है, जो बोस्टन से सैन फ्रैंसिस्को तक जाती है, जो कि डेनवर में रुकती है"
please list all united flights between pittsburgh and baltimore,कृपया पिट्सबर्ग और बाल्टिमोर के बीच की सभी संयुक्त उड़ानों को सूचीबद्ध करें,,कृपया पिट्सबर्ग और बाल्टिमोर के बीच सभी यूनाइटेड  उड़ानों को सूचीबद्ध करें
find the cheapest one way fare from boston to san francisco,बोस्टन से सैन फ्रांसिस्को तक का सबसे सस्ता तरीका ढूंढें,,  जो बोस्टन से सैन फ्रांसिस्को के लिए सबसे सस्ता एक रास्ता किराया क्या  है
give me morning flights from atlanta to baltimore,मुझे सुबह अटलांटा से बाल्टिमोर तक उड़ानें,,मुझे कलकत्ता से बाल्टिमोर तक सुबह की फ्लाइट दें
please give me round trip fares from pittsburgh to philadelphia,"दें, कृपया मुझे पिट्सबर्ग से फिलाडेल्फिया तक राउंड ट्रिप किराया दें, मुझे",,कृपया मुझे पिट्सबर्ग से फिलाडेल्फिया जाने के लिए राउंड ट्रिप का किराया दें
i would like information on ground transportation in the city of atlanta from airport to downtown,हवाई अड्डे से डाउनटाउन तक अटलांटा शहर में जमीन परिवहन पर जानकारी चाहिए,,मैं हवाई अड्डे से डाउनटाउन तक के शहर में जमीनी परिवहन की जानकारी लेना चाहता हूं
i 'd like to fly from philadelphia to dallas to san francisco,। फ़िलाडेल्फ़िया सैन फ्रांसिस्को के लिए डलास के लिए,,। फ़िलाडेल्फ़िया  से सैन फ्रांसिस्कोसे  डलास के लिए उड़ान भरना पसंद करूँगा 
what is the least expensive flight from atlanta to denver leaving on october twelfth,क्या डेन्वर करने के लिए अटलांटा से कम से कम महंगी उड़ान बारहवें अक्टूबर को छोड़ने है,,अक्टूबर बारहवीं पर छोड़ने के लिए एटलेंटा से कम से कम महंगी उड़ान क्या है
what is the price of american airlines flight 19 from new york to los angeles,क्या अमेरिकी एयरलाइन लॉस एंजिल्स के लिए न्यूयॉर्क की उड़ान 19 की कीमत है,,न्यू यार्क से लॉस एंजिल्स के लिए उड़ान भरने वाली अमेरिका एयरलाइन   फ्लाइट एक नौ की कीमत क्या है
what 's the first flight from dallas to houston,क्या के ह्यूस्टन के लिए डलास से पहली उड़ान,,डलास से हॉस्टन के लिए पहली उड़ान क्या है
i would like information on flights from san francisco to pittsburgh leaving after 8 pm monday night,मैं के बारे में जानकारी चाहते हैं सैन फ्रांसिस्को से पिट्सबर्ग की उड़ानें 8 बजे सोमवार रात को छोड़कर रातें,,मैं सैन फ्रांसिस्को से पिट्सबर्ग जाने वाली उड़ानों के बारे में रातआठ बजे के बाद जानना चाहूंगा 
what flights go from dallas to denver leaving after 3 pm,3 बजे के बाद डलास से डेनवर जाने वाली उड़ानें,,तीन बजे के बाद डलास से डेनवर जाने वाली उड़ानें
what is the fare code y and what is the fare code h,किराया कोड वाई क्या है और किराया कोड,,किराया कोड y क्या है और किराया कोड h क्या है
hello i 'd like a delta flight from atlanta to boston,मुझे सितंबर 1 99 1 के लिए डेनवर से सैन फ्रांसिस्को से सभी संयुक्त उड़ानें दिखाते हैं,,"नमस्ते, मैं एक डेल्टा फ्लाइट  पसंद  करूँगा एटलांटा  से बोस्टन तक के लिए "
what flights are provided by american airlines,हैलो क्या मैं अटलांटा से बोस्टन तक डेल्टा उड़ान की तरह हूं,,अमेरिकन एयरलाइंस द्वारा कौन सी उड़ानें प्रदान की जाती हैं
show me the flights from love field to other airports,"अमेरिकी एयरलाइंस द्वारा कौन सी उड़ानें प्रदान की जाती हैं,",,मुझे लव फ़ील्ड्स  से दूसरे हवाई अड्डों तक की उड़ानें दिखाएं
show me the coach fares from baltimore to dallas,मुझे दिखाती है कि मुझे प्यार क्षेत्र से अन्य हवाईअड्डे तक उड़ानें,,मुझे बाल्टिमोर से डलास तक का कोच किराया दिखाओ
i want the flights from toronto to san diego that stop in st. louis,"दिखाती हैं, मुझे बाल्टिमोर से डलास तक कोच किराया दिखाते हैं,",,मैं चाहता हूँ कि टोरंटो से सैन डिएगो तक की उड़ानें जो सेंट  लुइस में रुकें।
saturday or sunday flights between milwaukee and phoenix american airlines,मैं टोरंटो से सैन डिएगो की उड़ानें चाहता हूं जो सेंट में रुक जाए। लुईस,,मिलवॉकी और फीनिक्स अमेरिकन एयरलाइंस के बीच शनिवार या रविवार की उड़ानें
list the cheapest one way flight from miami florida to charlotte north carolina,शनिवार या मिन्वौकी और फीनिक्स अमेरिकी एयरलाइंस के बीच रविवार की उड़ानें,,मिआमी फ्लोरिडा से चार्लोट नॉर्थ कैरोलिना तक की सबसे सस्ती फ्लाईट की सूची
flights from washington august second,मियामी फ्लोरिडा से सबसे सस्ती एक तरह की उड़ान की सूची है जो,,दो अगस्त पर वाशिंगटन की उड़ाने 
i 'd like to fly from philadelphia to san francisco through dallas,वाशिंगटन अगस्त से उत्तरी कैरोलिना उड़ानों के लिए चार्लोइट से दूसरी है।,,मैं डलास के माध्यम से फिलाडेल्फिया से सैन फ्रांसिस्को तक उड़ान भरना पसंद करता हूं
list all flights from atlanta to dallas on friday,मैं फिलाडेल्फिया से सैन फ्रांसिस्को से डलास,,एटलैंटा से डलास  तक सभी उड़ानों को सूचीबद्ध करें
houston airports,"सूची के माध्यम से उड़ान भरना चाहता हूं , अटलांटा से डलास तक सभी उड़ानें शुक्रवार",,हॉस्टन हवाई अड्डे
show me all united flights from denver to san francisco for september first 1991,हॉस्टन हवाई अड्डे,,डेन्वेर से सं फ्रांसिस्को के लिए सभी ुंटिएड उड़ान एक सितम्बर उन्नेश सौ इक्यानबे पर दिखाए 
what is the earliest flight departing san francisco and arriving in oakland on november eighth,सैन फ्रांसिस्को से निकलने वाली सबसे पुरानी उड़ान क्या है और नवंबर आठवें नवंबर,,जल्द से जल्द उड़ान भरने वाला सैन फ्रैंसिस्को से और आठ नवंबर पर आने वाला कौन सा उड़ान हैं  
from new york to toronto on thursday morning,को न्यू यॉर्क से टोरंटो तक शुक्रवार सुबह ओकलैंड पहुंच रही है,,गुरुवार  की सुबह न्यू यॉर्क से टोरंटो  तक
cheapest flight from miami to indianapolis,मियामी से इंडियानापोलिस तक सबसे सस्ती उड़ान,,मियामी से इंडियानापोलिस तक सबसे सस्ती उड़ान
which airlines fly from boston to washington dc but stopover in some other city,जो एयरलाइंस बोस्टन से वाशिंगटन डीसी तक उड़ती हैं लेकिन किसी अन्य शहर में स्टॉपओवर,,कौन सी एयरलाइन्स बॉस्टन से वॉशिंगटन डीसी तक जाती हैं लेकिन किसी और शहर में रुकती हैं
please list all airline flights between denver and boston,"कृपया डेनवर और बोस्टन के बीच सभी एयरलाइन उड़ानों की सूची दें,",,डेनवर और बॉस्टन के बीच सभी एयरलाइन उड़ानों को सूचीबद्ध करें
i am interested in a flight from cincinnati to burbank the flight should be american and leave in the afternoon i need to know the aircraft and flight number,"मुझे सिनसिनाटी से बर्बैंक की उड़ान में दिलचस्पी है, उड़ान अमेरिकी होना चाहिए और दोपहर में छोड़ना चाहिए।",,मुझे सिनसिनाटी से उड़ान में दिलचस्पी है बोर्बंक के लिए उड़ान को अमेरिकी होना चाहिए और दोपहर में छोड़ना चाहिए मुझे विमान और उड़ान संख्या जानने की आवश्यकता है
flights from oakland to san francisco,ओकलैंड से सैन फ्रांसिस्को,,ऑकलैंड से सैन फ्रांसिस्को तक उड़ानें
list flights from boston to san francisco that serve only breakfast,की उड़ानें विमानों और फ्लाइट नंबर उड़ानों को बोस्टन से सैन फ्रांसिस्को की उड़ानों की जानकारी देने की आवश्यकता है जो केवल नाश्ते की सेवा करते हैं कि,,बोस्टन से  सं फ्रांसिस्को  तक की उड़ानें की सूची जो केवल नाश्ता परोसती हैं
how many airlines have flights with service class yn,"सेवा कक्षाओं के साथ कितनी एयरलाइंस उड़ानें हैं,",,कितने एयरलाइनों के पास सर्विस क्लास yn के साथ उड़ानें हैं
could you please give me a one way fare from pittsburgh to atlanta,क्या आप कृपया मुझे पिट्सबर्ग से अटलांटा तक एक रास्ता किराया दे सकते हैं,,क्या आप कृपया मुझे पिट्सबर्ग से एटलैंटा तक का एक रास्ता  का किराया दे सकते हैं
okay i 'd like to fly from denver to pittsburgh,मुझे इस रविवार को छोड़कर मॉन्ट्रियल क्यूबेक से सैन डिएगो कैलिफ़ोर्निया तक उड़ान की आवश्यकता है,,"ठीक है, मैं डेनवर से पिट्सबर्ग तक उड़ना चाहता हूं"
i 'd like a flight from montreal to san diego for sunday,"ठीक है, मैं डेनवर से पिट्सबर्ग तक उड़ना चाहता हूं",,मैं रविवार के लिए मॉन्ट्रियल से सैन डिएगो की उड़ान पसंद करूँगा 
i need a flight from montreal quebec to san diego california leaving this sunday,"मुझे रविवार के लिए मॉन्ट्रियल से सैन डिएगो की उड़ान पसंद है,",,मुझे इस रविवार को छोड़कर मॉन्ट्रियल क्यूबेक से सैन डिएगो कैलिफ़ोर्निया की उड़ान की आवश्यकता है
give me a list of all the flights from baltimore to philadelphia or denver to philadelphia or pittsburgh to philadelphia,"मुझे बाल्टिमोर से फिलाडेल्फिया या डेनवर से फिलाडेल्फिया या पिट्सबर्ग में फिलाडेल्फिया के लिए सभी उड़ानों की एक सूची दें, मुझे",,मुझे बाल्टिमोर से फिलाडेल्फिया या फिलाडेल्फिया या पिट्सबर्ग से फिलाडेल्फिया तक सभी उड़ानों की  सूची दें
tell me about ground transportation in st. petersburg airport,सेंट में जमीन परिवहन के बारे में बताएं। पेटर्सबर्ग हवाई अड्डे,, मुझे सेंट  पेटर्सबर्ग हवाई अड्डे से ग्राउंड ट्रांसपोर्टेशन के बारे में बताएं। 
how many united flights are there from san francisco please,"से सैन फ्रांसिस्को से कितनी एकजुट उड़ानें हैं, कृपया",,सैन फ्रांसिस्को  से कितने यूनाइटेड फ्लाइट्स हैं   कृपया 
i need a listing of flights from new york city to montreal canada departing thursday in the morning,"मुझे न्यू यॉर्क शहर से मोंट्रियल कनाडा के प्रस्थान के लिए उड़ान भरने की ज़रूरत है,",,मुझे   गुरुवार  सुबह  के समय  पर न्यू यार्क शहर से मॉन्ट्रियल कनाडा जाने वाले फ्लाइट्स कीसूची की आवश्यकता है
show me all the flights from philadelphia to newark,मुझे सुबह में प्रस्थान करने के लिए फिलाडेल्फिया से नई उड़ानें दिखाएं,,मुझे फिलाडेल्फिया से नेवार्क तक की सभी उड़ानें दिखाएं
how can i go from the san francisco airport to downtown san francisco,कि मैं सैन फ्रांसिस्को हवाई अड्डे से डाउनटाउन कैसे जा सकता हूं सैन फ्रांसिस्को,,मैं सैन फ्रांसिस्को हवाई अड्डे से डाउनटाउन सैन फ्रांसिस्को कैसे जा सकता हूं
i would like to fly from denver to atlanta by way of pittsburgh,मैं पिट्सबर्ग के रास्ते से डेनवर से अटलांटा तक उड़ना,,मैं पिट्सबर्ग के रास्ते डेनवर से अट्लंता तक उड़ान भरना चाहूंगा
give me fares from atlanta to baltimore,"चाहता हूं, मुझे अटलांटा से बाल्टिमोर",,मुझे अटलांटा  से बाल्टिमोर तक का किराया दें
baltimore to philadelphia,बाल्टिमोर से फिलाडेल्फिया तक किराया,,बाल्टिमोर से फिलाडेल्फिया
give me flights from denver to baltimore,देना मुझे डेनवर से बाल्टिमोर तक उड़ानें देना,,मुझे डेनवर से बाल्टिमोर तक उड़ानें दें
the flight will originate from boston,यह उड़ान,,उड़ान बोस्टन से निकलेगी
flights from kansas city to cleveland and price,कान्सास शहर से क्लीवलैंड और कीमत तक बोस्टन उड़ानों से निकल जाएगी,,कैनसस शहर से क्लीवलैंड  के लिए उड़ानें और कीमत 
on tuesday what flights leave phoenix to st. paul minnesota and leave after noon,शुक्रवार को फीनिक्स को सेंट से कौन सी उड़ानें छोड़ती हैं। पाउल मिनेसोटा और दोपहर के बाद छोड़ दो,,मंगलवार को कौन सी उड़ान  फ़ीनिक्स सेंट  पॉल मिनेसोटा  के लिए उड़ान छोड़ते हैं दोपहर के बाद 
what is the lowest price fare from atlanta to san francisco on flight delta 82 and delta 139,अटलांटा से सैन फ्रांसिस्को से फ्लाइट डेल्टा 82 पर सबसे कम कीमत किराया क्या है और डेल्टा 13 9,,फ्लाइट डेल्टा आठ दो  और डेल्टा 1एक तीन नौ  पर अल्टान्टा से सैन फ्रेंकोस्को के लिए सबसे कम कीमत क्या है
list flights from detroit to san diego on thursday,डेट्रोइट से सैन डिएगो की,,डेट्रायट से सैन डिएगो के लिए थर्सडे पर उड़ानों की सूची
what flights are there from phoenix to milwaukee,उड़ानें शुक्रवार को फीनिक्स से मिल्वौकी तक,,फ़ीनिक्स से मिल्वौकी के लिए कौन सी फ़्लाइट हैं
what flights go from philadelphia to san francisco with a stopover in dallas,उड़ानें हैं जो फिलाडेल्फिया से सैन फ्रांसिस्को तक उड़ानें हैं डलास में एक स्टॉपओवर,,डलास में स्टॉपओवर के साथ फिलाडेल्फिया से सैन फ्रांसिस्को जाने वाली उड़ानें क्या हैं
show flights from denver to oakland that arrive after 12 o'clock,डेनवर से ओकलैंड तक उड़ानें दिखाता है जो 12 बजे के बाद पहुंचते,,डेनवर से ओकलैंड के लिए उड़ानें दिखाएँ जो बारह  बजे के बाद आती हैं
find me the earliest flight from boston to atlanta on any day of the week,"हैं, मुझे सप्ताह के किसी भी दिन बोस्टन से अटलांटा की सबसे पुरानी उड़ान मिलती है,",,सप्ताह के किसी भी दिन बोस्टन से अट्लंता तक की सबसे पहली उड़ान मुझे मिल जाए
what is the airfare between denver and pittsburgh,डेनवर और पिट्सबर्ग के बीच हवाई किराया,,डेनवर और पिट्सबर्ग के बीच विमान किराया क्या है
show me all flights from denver to philadelphia which leave next saturday afternoon,मुझे डेनवर से फिलाडेल्फिया तक की सभी उड़ानें दिखाता है अगले शनिवार दोपहर,,मुझे डेनवर से फिलाडेल्फिया तक सभी उड़ानें दिखाएं जो अगले शनिवार दोपहर को निकलती हैं
show me flights from atlanta to baltimore denver and dallas,मुझे अटलांटा से बाल्टिमोर डेनवर और डलास से उड़ानें दिखाता है,,मुझे एटलांटा से बाल्टिमोर डेनेवर और डलास तक की उड़ानें दिखाएं
one way,एक तरह,,एक रास्ता
list all flights on saturday from dallas to san francisco nonstop,से शनिवार को डलास से सैन फ्रांसिस्को नॉनस्टॉप तक सभी उड़ानों की सूची बनाएं,,शनिवार से डलास से सैन फ्रांसिस्को नॉनस्टॉप तक सभी उड़ानों की सूची
how many airports does oakland have,"कि ओकलैंड के कितने हवाई अड्डे हैं, क्या",,ओकलैंड में कितने हवाई अड्डे हैं
can you give me a list of the flights from atlanta to boston,"आप मुझे अटलांटा से बोस्टन तक उड़ानों की एक सूची दे सकते हैं,",,क्या आप मुझे अट्लंता से बोस्टन तक की उड़ानों की एक सूची दे सकते हैं
please give me a list of flights leaving boston going to pittsburgh,कृपया मुझे,,कृपया मुझे बुस्टोन को पिट्सबर्ग जाने वाली उड़ानों की एक सूची दें
repeating leaving denver to san francisco before 10 am what type of aircraft is used,10 मिनट से पहले सैन फ्रांसिस्को में डेनवर छोड़ने के लिए पिट्सबर्ग जाने के लिए बोस्टन छोड़ने वाली उड़ानों की एक सूची दें किस प्रकार के विमान का उपयोग किया जाता,,सुबह दस  बजे से पहले सैन फ्रांसिस्को के लिए डेनवर को छोड़कर किस प्रकार के विमान का उपयोग किया जाता है
what is the earliest flight from washington to atlanta leaving on wednesday september fourth,"है, वाशिंगटन से अटलांटा की सबसे पुरानी उड़ान क्या है, चौथे सितंबर को छोड़कर",,वॉशिंगटन से अल्टांता तक की सबसे पहली उड़ान वेडनसडे को चौथी सितंबर को रवाना होती है
show me all flights from atlanta to dallas round trip less than 1100 dollars,मुझे चौथे दिन मुझे अटलांटा से डलास राउंड ट्रिप की सभी उड़ानें 1100 डॉलर से कम दिखाती,,मुझे एटलैंटा से डलास दौर की यात्रा के लिए ग्यारह सौ डॉलर से कम की सभी उड़ानें दिखाएं
what flights return from denver to philadelphia on a saturday,"हैं, जो डेनवर से फिलाडेल्फिया",,क्या उड़ानें शनिवार से फिलाडेल्फिया के लिए डेनवर से लौटती हैं
flights from dallas to houston in the morning,"तक उड़ानें लौटती हैं, जो डलास से हॉस्टन तक शनिवार की उड़ानों पर उड़ानें लौटती हैं सुबह",,सुबह डलास से हॉस्टन के लिए उड़ान
what are your flights from pittsburgh to baltimore,पिट्सबर्ग से बाल्टिमोर तक आपकी उड़ानें क्या हैं,,पिट्सबर्ग से बाल्टिमोर तक आपकी उड़ानें क्या हैं
first flights and fares from pittsburgh to atlanta on a thursday,और पिट्सबर्ग से अटलांटा तक किराया,,पहली फ्लाइट और किराए का पिट्सबर्ग से एटलैंटा तक  थर्सडे पर 
the earliest flight from boston to san francisco please that will be serving a meal,बोस्टन से सैन फ्रांसिस्को की सबसे पुरानी उड़ान कृपया भोजन की सेवा करेगी कि,,बुस्टॉन से सैन फ्रैंसिस्को के लिए जल्द से जल्द उड़ान जो भोजन की सेवा   भी  देती  होगी 
what type of aircraft flies from pittsburgh to baltimore,क्या खड़ा है,,पिट्सबर्ग से बाल्टिमोर तक किस प्रकार के विमान उड़ते हैं
show me the cheapest one way tickets from atlanta to dallas,पिट्सबर्ग से बाल्टिमोर तक किस प्रकार का विमान उड़ता है,,मुझे एटलैंटा से डलास तक का सबसे सस्ता एक रास्ता दिखाओ
give me sunday nonstop flights from memphis to las vegas,मुझे दिखाता है कि अटलांटा से डलास तक सबसे सस्ता एक रास्ता टिकट,,मुझे रविवार को मेम्फिस से लास वेगास तक नॉनस्टॉप उड़ानें दें
on the flight from baltimore to san francisco on us air leaving at 420 what type of aircraft is used,मुझे मेम्फिस से लास वेगास,,बाल्टिमोर से सैन फ्रेंकोसिस्को की उड़ान अमेरिकन विमान पर चार बज के बिष मिनट पर छोड़ने वाली   किस प्रकार के विमानों का उपयोग किया जाता है
i want a evening flight from dallas to milwaukee,"तक उड़ान भरने के लिए सल्डे नॉनस्टॉप उड़ानें देता है, जो हमें 420 पर छोड़कर हवा पर जाता है, किस प्रकार के विमान का उपयोग किया जाता है",,मुझे डलास से मिलवॉकी के लिए शाम की उड़ान चाहिए
let 's look at baltimore to philadelphia again,मैं डलास से मिल्वौकी तक शाम की उड़ान चाहता हूं,,आइए बाल्टिमोर को फिर से फिलाडेल्फिया में देखें
what are the prices of the flights from dallas to baltimore,चलो बाल्टिमोर को फिलाडेल्फिया में फिर,,डलास से बाल्टिमोर तक की उड़ानों की कीमतें क्या हैं
what kind of airplane is flight ua 281 from boston to denver,"से देखें, डलास से बाल्टिमोर की उड़ानों की कीमतें",,किस तरह का हवाई जहाज बोस्टन से डेनवर तक उड़ान ua   दो आठ एक  है
how many first class flights does united have today,किस प्रकार की हवाई जहाज उड़ान भर रही हैं ua 281 बोस्टन से यह पता लगाने के लिए,,प्रथम श्रेणी की कितनी उड़ानें आज यूनाइटेड पर  हैं
what does ua stand for,कि कितनी प्रथम श्रेणी की उड़ानें एकजुट हैं,,ua का क्या मतलब हैं 
can i go from boston to san francisco with a stopover in denver,क्या मैं बोस्टन से सैन फ्रांसिस्को से डेनवर में स्टॉपओवर के साथ,,"क्या मैं बॉस्टन से सैन फ्रैंसिस्को तक जा सकता हूं, जहां  स्टॉपओवर है"
can you tell me which flight from dallas to baltimore has the least expensive fare,जा सकता हूं क्या आप मुझे बता सकते हैं कि डलास से बाल्टिमोर में कौन सी उड़ान कम से कम महंगी किराया है,,क्या आप मुझे बता सकते हैं कि डलास से बाल्टिमोर तक कौन सी उड़ान कम से कम महंगी है
show me the latest flight to love field,मुझे प्यार क्षेत्र के लिए नवीनतम उड़ान दिखा,,मुझे लव फील्ड  की नवीनतम उड़ान दिखाओ
what type of plane is an m80,विमान किस प्रकार एक M80 है,,किस प्रकार का विमान  m80 है
what is the earliest flight that i can take from boston to baltimore,क्या जल्द से जल्द उड़ान है कि मैं बोस्टन से बाल्टीमोर के लिए ले जा सकते हैं है,,जल्द से जल्द उड़ान कौन सी है कि बॉस्टन से बाल्टिमोर तक जाने के लिए 
list the nonstop flights on wednesday june second from miami to washington arriving in washington between 1115 am and 1245 pm,"सूची लगातार वॉशिंगटन करने के लिए मियामी से जून, बुधवार दूसरे पर उड़ानें वॉशिंगटन में पहुंचने 1115 बजे से 1245 बजे के बीच",,ग्यारह और बारह  पैंतालीस  बजे के बीच वॉशिंगटन  पहुंचने वाले  मयामी से वाशिंगटन बुधवार दो  जून पर नॉनस्टॉप उड़ानों की सूची दें
i would like to fly from st. paul to san jose monday morning from san jose to houston tuesday morning and from houston to st. paul on wednesday morning,मैं सेंट से उड़ना पसंद करेंगे। सान जोस से सोमवार सुबह हौस्टन से टुडेडे सुबह और हॉस्टन से सेंट तक सैन जोस सोमवार को पुल। बुधवार सुबह,,मैं सेंट पॉल  से  सं जोस  उड़ान भरना चाहूंगा सोमवार की सुबह  सं जोस  से हॉस्टन मंगलवार  सुबह और हॉस्टन से  सत पॉल .बुधवार सुबह पर 
what is fare code m,पुल कोड किराया क्या है,,किराया कोड m  क्या है
show me ground transportation in baltimore,मुझे बाल्टिमोर में जमीन परिवहन दिखाता है,,मुझे बाल्टिमोर में ग्राउंड ट्रांसपोर्टेशन दिखाएं
what are all the flights on delta in and out of fort worth,"कि डेल्टा में फोर्ट लायक में और बाहर की सभी उड़ानें क्या हैं,",, फोर्ट वर्थ  के अंदर और बाहर डेल्टा पर सभी उड़ानें क्या हैं
show me all the flights from baltimore to columbus,सभी उड़ानें मुझे बताती हैं कि मुझे बाल्टिमोर से कोलम्बस की सभी उड़ानें दिखाएं,,बाल्टिमोर  से कोलंबस  तक की सभी उड़ानें मुझे दिखाएं
i want to fly from boston to atlanta i would like the cheapest fare please,मैं बोस्टन से अटलांटा तक उड़ना चाहता,,मैं बोस्टोन से अट्लंता तक उड़ान भरना चाहता हूं मैं सबसे सस्ता किराया चाहता हूं
would you tell me the cheapest one way fare from boston to oakland,"हूं, मुझे सबसे सस्ती किराया चाहिए, कृपया मुझे सबसे सस्ती बताएं बोस्टन से ओकलैंड तक रास्ता किराया",,क्या आप मुझे बॉस्टन से ओकलैंड का सबसे सस्ता एक रास्ता बता सकते हैं
is there ground transportation from the airport to downtown phoenix,हवाई अड्डे से डाउनटाउन फीनिक्स तक जमीन परिवहन है,,हवाई अड्डे से फीनिक्स शहर के लिए जमीन परिवहन है
does the phoenix airport have ground transportation to and from downtown,क्या फीनिक्स हवाई अड्डे के पास जमीन से परिवहन के लिए जमीन परिवहन है और,,फीनिक्स हवाई अड्डे के लिए और शहर से जमीन परिवहन है
give me the flights from milwaukee to st. louis leaving sunday morning,मुझे मिल्वौकी से सेंट तक उड़ानें देते हैं। लुइस रविवार सुबह छोड़ने,,मुझे मिल्वौकी से सेंट की उड़ानें दें। रविवार की सुबह को छोड़कर
what is sa,क्या सा है,,sa क्या है
a flight on continental airlines leaving boston and going to denver,महाद्वीपीय एयरलाइंस बोस्टन छोड़ने और डेन्वर के लिए जा रहा पर एक उड़ान,, कॉन्टिनेंटल  एयरलाइंस  पर उड़ान  बोस्टन छोड़ने और डेन्वर के लिए जा रहा 
show me all meals on flights from atlanta to washington,मुझे वॉशिंगटन करने के लिए अटलांटा से उड़ानों पर सभी भोजन दिखाने,,मुझे वॉशिंगटन  से  अटलांटा  के लिए उड़ानों पर सभी भोजन दिखाने
saturday flights from las vegas to phoenix,फोनिक्स के लिए लास वेगास से शनिवार उड़ानों,,लास वेगास से फीनिक्स के लिए शनिवार की उड़ानें
i would like to find the least expensive flight from boston to denver,मैं डेन्वर करने के लिए बोस्टन से कम से कम महंगी उड़ान प्राप्त करना चाहते हैं,,मैं बोस्टन से डेनवर तक कम से कम महंगी उड़ान खोजना चाहता हूं
show me flights arriving in baltimore from pittsburgh between 4 and 5 pm,मुझे दिखाओ 4 और 5 बजे के बीच पिट्सबर्ग से बाल्टिमोर पहुंचने वाली उड़ानें,,मुझे चार से पांच बजे के बीच पिट्सबर्ग से बाल्टिमोर पहुंचने वाली फ्लाइट दिखाएं
i need a flight delta airlines kansas city to salt lake,"हैं, बोस्टन से सैन फ्रांसिस्को की सभी नॉनस्टॉप उड़ानें",,मुझे साल्ट लेक के लिए एक फ्लाइट डेल्टा एयरलाइंस  केंसास  शहर चाहिए
can you list all flights from washington to toronto,टोरंटो और सैन फ्रांसिस्को के बीच उड़ानें दिखाएं,,क्या आप वॉशिंगटन से टॉरंटो तक की सभी उड़ानें सूचीबद्ध कर सकते हैं
show all nonstop flights from boston to san francisco,मुझे एक फ्लाइट डेल्टा एयरलाइंस कैनसस शहर की नमक झील की आवश्यकता है,,नोस्टोन से सैन फ्रांसिस्को तक सभी नॉनस्टॉप उड़ानें दिखाएं
